default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
0,< 0 DM,6.609434159508862,existing credits paid back duly till now,(vacation - does not exist?),1168.881434707948,... < 100 DM,.. >= 7 years,3.0960980402929827,male : single,guarantor,6.49804539374699,if not A121 : building society savings agreement/ life insurance,67.5064090205907,none,own,1.4840958135178723,unemployed/ unskilled - non-resident,1.4502334540768052,none,yes
1,no checking account,45.92003178751901,critical account/ other credits existing (not at this bank),retraining,5949.541426127253,unknown/ no savings account,1 <= ... < 4 years,0.6682445777591273,male : single,none,3.375384370235564,unknown / no property,23.790436804452362,bank,own,0.40102821841677017,skilled employee / official,0.8933140755065442,"yes, registered under the customers name ",yes
0,no checking account,13.500902391612914,critical account/ other credits existing (not at this bank),radio/television,2095.1710538683283,500 <= ... < 1000 DM ,1 <= ... < 4 years,2.8680196469002137,male : married/widowed,none,6.932254942751181,if not A121 : building society savings agreement/ life insurance,49.54664251307375,none,own,-0.39331982501089313,skilled employee / official,3.7280872521484607,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,43.88112943278243,critical account/ other credits existing (not at this bank),car (new),7883.267820755467,.. >= 1000 DM ,4 <= ... < 7 years,2.50370883059001,male : single,none,0.9043343345201773,"if not A121/A122 : car or other, not in attribute 6",49.47766333282885,none,own,1.8569658573116676,skilled employee / official,3.2134663548234528,none,yes
1,no checking account,20.097929622692327,existing credits paid back duly till now,domestic appliances,4870.0059865824,... < 100 DM,... < 1 year ,0.19041690477934514,male : divorced/separated,none,3.469279783371491,"if not A121/A122 : car or other, not in attribute 6",55.859574904940835,none,rent,2.4692923754095184,unskilled - resident,-3.971645068219847,none,yes
0,no checking account,33.39564098627537,existing credits paid back duly till now,domestic appliances,9055.680419953736,... < 100 DM,1 <= ... < 4 years,4.245356509127477,male : single,none,3.074957232114349,if not A121 : building society savings agreement/ life insurance,34.38494447056597,none,own,-2.181299396538836,unskilled - resident,3.0904844088569137,none,yes
0,< 0 DM,24.25568080633457,critical account/ other credits existing (not at this bank),car (used),2836.3401584844046,unknown/ no savings account,1 <= ... < 4 years,2.8116108492983334,male : single,none,0.05263464718279698,if not A121 : building society savings agreement/ life insurance,52.36394513238586,none,own,-2.3030519904787154,skilled employee / official,-1.0069588190081675,"yes, registered under the customers name ",yes
0,no checking account,35.36751481531284,existing credits paid back duly till now,car (used),6947.250317074205,... < 100 DM,1 <= ... < 4 years,-0.22186219043144106,male : single,none,4.120654409559388,if not A121 : building society savings agreement/ life insurance,35.939393438970704,none,for free,1.8493689064115086,skilled employee / official,-1.843457482897398,none,yes
0,< 0 DM,11.966397684991422,existing credits paid back duly till now,radio/television,3060.5124963272597,... < 100 DM,4 <= ... < 7 years,4.377568228707748,female : divorced/separated/married,none,3.4592068883932834,real estate,59.32396163914863,none,own,-0.6305728575890692,skilled employee / official,0.6230531792528726,"yes, registered under the customers name ",yes
1,< 0 DM,28.29391214485284,no credits taken/ all credits paid back duly,radio/television,5234.757685206917,... < 100 DM,.. >= 7 years,5.2513511431923074,male : single,none,3.479262409973124,real estate,30.332576613064973,bank,rent,2.604082310200648,skilled employee / official,1.821942218060023,none,yes
