default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
0,< 0 DM,6.914151239263294,existing credits paid back duly till now,(vacation - does not exist?),1168.8221520619222,... < 100 DM,.. >= 7 years,2.6441470604394746,male : single,guarantor,7.747068090620485,if not A121 : building society savings agreement/ life insurance,67.75961353088604,none,own,1.2261437202768084,unemployed/ unskilled - non-resident,1.6753501811152076,none,yes
1,no checking account,44.88004768127851,critical account/ other credits existing (not at this bank),retraining,5948.812139190879,unknown/ no savings account,1 <= ... < 4 years,0.002366866638690901,male : single,none,4.063076555353346,unknown / no property,24.68565520667854,bank,own,0.10154232762515525,skilled employee / official,0.8399711132598162,"yes, registered under the customers name ",yes
0,no checking account,14.251353587419372,critical account/ other credits existing (not at this bank),radio/television,2094.7565808024924,500 <= ... < 1000 DM ,1 <= ... < 4 years,3.302029470350321,male : married/widowed,none,8.898382414126772,if not A121 : building society savings agreement/ life insurance,49.819963769610624,none,own,-1.0899797375163396,skilled employee / official,4.592130878222691,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,44.82169414917364,critical account/ other credits existing (not at this bank),car (new),7883.901731133201,.. >= 1000 DM ,4 <= ... < 7 years,2.7555632458850154,male : single,none,-0.643498498219734,"if not A121/A122 : car or other, not in attribute 6",51.716494999243274,none,own,2.2854487859675015,skilled employee / official,3.8201995322351796,none,yes
1,no checking account,18.14689443403849,existing credits paid back duly till now,domestic appliances,4870.0089798736,... < 100 DM,... < 1 year ,-1.2143746428309825,male : divorced/separated,none,3.2039196750572363,"if not A121/A122 : car or other, not in attribute 6",57.28936235741126,none,rent,2.703938563114278,unskilled - resident,-6.957467602329771,none,yes
0,no checking account,32.093461479413044,existing credits paid back duly till now,domestic appliances,9056.020629930605,... < 100 DM,1 <= ... < 4 years,5.368034763691216,male : single,none,2.6124358481715237,if not A121 : building society savings agreement/ life insurance,34.077416705848954,none,own,-3.771949094808254,unskilled - resident,3.6357266132853705,none,yes
0,< 0 DM,24.383521209501858,critical account/ other credits existing (not at this bank),car (used),2837.0102377266066,unknown/ no savings account,1 <= ... < 4 years,2.7174162739475003,male : single,none,-1.9210480292258048,if not A121 : building society savings agreement/ life insurance,52.04591769857879,none,own,-3.954577985718073,skilled employee / official,-2.0104382285122515,"yes, registered under the customers name ",yes
0,no checking account,35.05127222296925,existing credits paid back duly till now,car (used),6946.875475611308,... < 100 DM,1 <= ... < 4 years,-1.3327932856471616,male : single,none,5.180981614339082,if not A121 : building society savings agreement/ life insurance,36.40909015845606,none,for free,2.2740533596172634,skilled employee / official,-3.265186224346097,none,yes
0,< 0 DM,11.949596527487133,existing credits paid back duly till now,radio/television,3061.2687444908893,... < 100 DM,4 <= ... < 7 years,5.566352343061622,female : divorced/separated/married,none,3.1888103325899246,real estate,58.485942458722946,none,own,-1.445859286383604,skilled employee / official,0.4345797688793088,"yes, registered under the customers name ",yes
1,< 0 DM,27.44086821727926,no credits taken/ all credits paid back duly,radio/television,5235.136527810375,... < 100 DM,.. >= 7 years,5.877026714788462,male : single,none,4.218893614959686,real estate,31.49886491959746,bank,rent,2.906123465300972,skilled employee / official,2.2329133270900345,none,yes
1,< 0 DM,14.638193924588485,critical account/ other credits existing (not at this bank),business,1291.2955607392655,... < 100 DM,1 <= ... < 4 years,-0.7936259758437423,male : married/widowed,co-applicant,8.079315802988836,"if not A121/A122 : car or other, not in attribute 6",26.08480156553075,none,own,3.342794734327565,management/ self-employed/ highly qualified employee/ officer,-3.9222038308604734,none,yes
1,< 0 DM,50.333375806286845,delay in paying off in the past,business,4312.326914373559,unknown/ no savings account,... < 1 year ,8.331548520773172,female : divorced/separated/married,none,2.9402689245171754,real estate,24.769376732575598,none,rent,-2.8128585122166774,skilled employee / official,3.1137292511726544,none,yes
0,< 0 DM,12.198092092683648,critical account/ other credits existing (not at this bank),domestic appliances,1565.4977657687293,... < 100 DM,1 <= ... < 4 years,2.9763921050985784,female : divorced/separated/married,none,-0.2634589479714655,"if not A121/A122 : car or other, not in attribute 6",24.06086100331245,bank,own,-3.234611763728555,skilled employee / official,3.2900165425948,"yes, registered under the customers name ",yes
1,< 0 DM,27.381723620904097,delay in paying off in the past,car (used),1194.0347139704445,unknown/ no savings account,1 <= ... < 4 years,3.9694116531248618,male : single,none,4.355992509171988,"if not A121/A122 : car or other, not in attribute 6",65.16848965010718,none,rent,7.0232950471858855,unemployed/ unskilled - non-resident,1.1409285888984932,none,yes
0,no checking account,16.402528026756137,existing credits paid back duly till now,domestic appliances,1399.864868871241,... < 100 DM,... < 1 year ,6.7706564168653385,male : single,none,6.961742058950229,unknown / no property,28.512866056562515,bank,own,2.054712348887377,skilled employee / official,-1.602870890681146,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,21.422122611350286,existing credits paid back duly till now,radio/television,1278.936864517965,100 <= ... < 500 DM,1 <= ... < 4 years,4.477893351488921,male : single,none,0.29986092406955045,real estate,31.66087888738585,none,rent,-0.2577219700198128,skilled employee / official,-1.9381340125678759,none,yes
0,< 0 DM,25.106252352247495,existing credits paid back duly till now,radio/television,2424.1565199559727,... < 100 DM,1 <= ... < 4 years,3.915750774687904,male : single,none,2.107115208603608,"if not A121/A122 : car or other, not in attribute 6",57.52615886996774,none,rent,-0.801821357938791,unskilled - resident,4.077796394740682,"yes, registered under the customers name ",yes
0,< 0 DM,27.123352197513004,all credits at this bank paid back duly,repairs,8071.1784484833615,unknown/ no savings account,... < 1 year ,0.019099651934032957,male : single,none,6.171567810724097,"if not A121/A122 : car or other, not in attribute 6",27.902651247973406,none,rent,1.4686774532781612,skilled employee / official,-3.533668059487715,none,yes
1,no checking account,26.635350903921818,critical account/ other credits existing (not at this bank),domestic appliances,12577.989504097079,100 <= ... < 500 DM,1 <= ... < 4 years,5.745551317921236,female : divorced/separated/married,none,3.1359179715141066,"if not A121/A122 : car or other, not in attribute 6",43.03706047884884,none,own,-2.571717008339931,skilled employee / official,4.193411382457535,none,yes
0,0 <= ... < 200 DM,23.850222267041243,critical account/ other credits existing (not at this bank),domestic appliances,3431.8591058964475,... < 100 DM,4 <= ... < 7 years,4.42980890197194,female : divorced/separated/married,none,-4.134184789014462,unknown / no property,31.01555934597706,none,own,3.6502365222717708,skilled employee / official,1.50440252260869,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,8.445412909364219,delay in paying off in the past,car (new),2135.0196260835783,... < 100 DM,... < 1 year ,4.044040419669134,female : divorced/separated/married,none,0.32382460159267534,if not A121 : building society savings agreement/ life insurance,48.586142747816396,none,rent,0.6697465391810375,skilled employee / official,0.7124965010714286,none,no
0,0 <= ... < 200 DM,3.957211366788176,existing credits paid back duly till now,car (new),2647.9481436119327,... < 100 DM,.. >= 7 years,-0.3699590616028088,male : single,none,7.503707591481631,if not A121 : building society savings agreement/ life insurance,45.08543883381495,none,own,4.280603764648801,skilled employee / official,-3.124263116239975,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,13.66762401602209,critical account/ other credits existing (not at this bank),domestic appliances,2242.229485371986,... < 100 DM,.. >= 7 years,1.3897895624982217,female : divorced/separated/married,none,4.205784849236437,if not A121 : building society savings agreement/ life insurance,43.930200447182656,none,rent,0.7981132406899663,skilled employee / official,1.5598501096142403,"yes, registered under the customers name ",yes
0,no checking account,11.536411553793593,existing credits paid back duly till now,(vacation - does not exist?),1805.8484040040066,... < 100 DM,1 <= ... < 4 years,2.7906036427135863,male : single,none,1.7134122068882531,"if not A121/A122 : car or other, not in attribute 6",39.37254617659532,none,rent,-2.1300505508519443,management/ self-employed/ highly qualified employee/ officer,2.8407565480341277,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,8.715016533510678,existing credits paid back duly till now,domestic appliances,2062.676139974668,... < 100 DM,4 <= ... < 7 years,-2.0004229562026037,male : married/widowed,none,0.4887710282950536,if not A121 : building society savings agreement/ life insurance,23.337829933992637,none,own,0.7210952359585958,skilled employee / official,-3.009230263555944,none,yes
0,0 <= ... < 200 DM,4.943599348535312,existing credits paid back duly till now,domestic appliances,1372.9066852432065,... < 100 DM,.. >= 7 years,-3.415437053972557,female : divorced/separated/married,none,2.0397100184050108,if not A121 : building society savings agreement/ life insurance,33.105784670965974,bank,own,-6.87250033250425,skilled employee / official,2.4959076017555364,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,7.596927556660046,no credits taken/ all credits paid back duly,car (new),419.4593698065316,100 <= ... < 500 DM,... < 1 year ,5.6954601364293085,male : single,none,6.207200080840492,unknown / no property,37.06852795808249,none,own,0.6376942699779793,unskilled - resident,1.267036761037068,none,yes
0,< 0 DM,13.096332193092234,existing credits paid back duly till now,business,409.1081797803934,... < 100 DM,.. >= 7 years,-4.805664945155067,male : divorced/separated,none,-1.0747901845763685,"if not A121/A122 : car or other, not in attribute 6",43.90413192627001,none,rent,1.4896424266095243,skilled employee / official,-0.9312668414969205,"yes, registered under the customers name ",yes
0,< 0 DM,8.238197834787965,existing credits paid back duly till now,radio/television,2414.986101083327,100 <= ... < 500 DM,unemployed,3.61623158088378,male : single,none,-0.5228474160113743,"if not A121/A122 : car or other, not in attribute 6",33.49321253102578,none,own,3.474228239643903,skilled employee / official,3.564019259473913,"yes, registered under the customers name ",yes
