default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
0,< 0 DM,6.304717079754432,existing credits paid back duly till now,(vacation - does not exist?),1168.9407173539742,... < 100 DM,.. >= 7 years,3.5480490201464914,male : single,guarantor,5.249022696873495,if not A121 : building society savings agreement/ life insurance,67.25320451029535,none,own,1.7420479067589363,unemployed/ unskilled - non-resident,1.2251167270384025,none,yes
1,no checking account,46.960015893759504,critical account/ other credits existing (not at this bank),retraining,5950.270713063626,unknown/ no savings account,1 <= ... < 4 years,1.3341222888795636,male : single,none,2.6876921851177817,unknown / no property,22.89521840222618,bank,own,0.7005141092083851,skilled employee / official,0.946657037753272,"yes, registered under the customers name ",yes
0,no checking account,12.750451195806457,critical account/ other credits existing (not at this bank),radio/television,2095.585526934164,500 <= ... < 1000 DM ,1 <= ... < 4 years,2.434009823450107,male : married/widowed,none,4.96612747137559,if not A121 : building society savings agreement/ life insurance,49.273321256536875,none,own,0.30334008749455343,skilled employee / official,2.8640436260742304,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,42.940564716391215,critical account/ other credits existing (not at this bank),car (new),7882.633910377734,.. >= 1000 DM ,4 <= ... < 7 years,2.2518544152950053,male : single,none,2.4521671672600887,"if not A121/A122 : car or other, not in attribute 6",47.23883166641443,none,own,1.4284829286558338,skilled employee / official,2.6067331774117264,none,yes
1,no checking account,22.048964811346163,existing credits paid back duly till now,domestic appliances,4870.0029932912,... < 100 DM,... < 1 year ,1.5952084523896726,male : divorced/separated,none,3.7346398916857453,"if not A121/A122 : car or other, not in attribute 6",54.42978745247042,none,rent,2.2346461877047594,unskilled - resident,-0.9858225341099236,none,yes
0,no checking account,34.697820493137684,existing credits paid back duly till now,domestic appliances,9055.340209976868,... < 100 DM,1 <= ... < 4 years,3.1226782545637386,male : single,none,3.5374786160571747,if not A121 : building society savings agreement/ life insurance,34.692472235282985,none,own,-0.590649698269418,unskilled - resident,2.545242204428457,none,yes
0,< 0 DM,24.127840403167287,critical account/ other credits existing (not at this bank),car (used),2835.670079242202,unknown/ no savings account,1 <= ... < 4 years,2.9058054246491665,male : single,none,2.0263173235913987,if not A121 : building society savings agreement/ life insurance,52.68197256619293,none,own,-0.6515259952393577,skilled employee / official,-0.0034794095040837636,"yes, registered under the customers name ",yes
0,no checking account,35.683757407656415,existing credits paid back duly till now,car (used),6947.625158537103,... < 100 DM,1 <= ... < 4 years,0.8890689047842795,male : single,none,3.060327204779694,if not A121 : building society savings agreement/ life insurance,35.469696719485356,none,for free,1.4246844532057543,skilled employee / official,-0.421728741448699,none,yes
0,< 0 DM,11.98319884249571,existing credits paid back duly till now,radio/television,3059.7562481636296,... < 100 DM,4 <= ... < 7 years,3.188784114353874,female : divorced/separated/married,none,3.7296034441966417,real estate,60.16198081957432,none,own,0.1847135712054654,skilled employee / official,0.8115265896264363,"yes, registered under the customers name ",yes
1,< 0 DM,29.14695607242642,no credits taken/ all credits paid back duly,radio/television,5234.378842603458,... < 100 DM,.. >= 7 years,4.625675571596154,male : single,none,2.739631204986562,real estate,29.166288306532486,bank,rent,2.302041155100324,skilled employee / official,1.4109711090300117,none,yes
1,< 0 DM,12.879397974862828,critical account/ other credits existing (not at this bank),business,1293.7651869130884,... < 100 DM,1 <= ... < 4 years,1.7354580080520858,male : married/widowed,co-applicant,3.3597719343296117,"if not A121/A122 : car or other, not in attribute 6",25.361600521843584,none,own,1.7809315781091883,management/ self-employed/ highly qualified employee/ officer,-0.6407346102868243,none,yes
1,< 0 DM,48.77779193542895,delay in paying off in the past,business,4309.442304791186,unknown/ no savings account,... < 1 year ,4.7771828402577245,female : divorced/separated/married,none,3.6467563081723915,real estate,24.256458910858534,none,rent,-0.2709528374055592,skilled employee / official,1.7045764170575515,none,yes
0,< 0 DM,12.066030697561215,critical account/ other credits existing (not at this bank),domestic appliances,1566.499255256243,... < 100 DM,1 <= ... < 4 years,1.6587973683661927,female : divorced/separated/married,none,0.5788470173428448,"if not A121/A122 : car or other, not in attribute 6",22.686953667770815,bank,own,-0.41153725457618506,skilled employee / official,1.7633388475315999,"yes, registered under the customers name ",yes
1,< 0 DM,25.127241206968034,delay in paying off in the past,car (used),1197.3449046568148,unknown/ no savings account,1 <= ... < 4 years,3.989803884374954,male : single,none,4.118664169723996,"if not A121/A122 : car or other, not in attribute 6",61.72282988336906,none,rent,3.674431682395295,unemployed/ unskilled - non-resident,1.0469761962994977,none,yes
0,no checking account,15.467509342252045,existing credits paid back duly till now,domestic appliances,1401.9549562904137,... < 100 DM,... < 1 year ,3.590218805621779,male : single,none,4.98724735298341,unknown / no property,28.170955352187505,bank,own,1.351570782962459,skilled employee / official,0.13237636977295142,"yes, registered under the customers name ",yes
1,0 <= ... < 200 DM,23.14070753711676,existing credits paid back duly till now,radio/television,1280.9789548393217,100 <= ... < 500 DM,1 <= ... < 4 years,4.159297783829641,male : single,none,1.43328697468985,real estate,31.886959629128615,none,rent,0.5807593433267291,skilled employee / official,0.020621995810708005,none,yes
0,< 0 DM,24.3687507840825,existing credits paid back duly till now,radio/television,2424.0521733186574,... < 100 DM,1 <= ... < 4 years,3.971916924895968,male : single,none,3.3690384028678695,"if not A121/A122 : car or other, not in attribute 6",54.50871962332258,none,rent,1.0660595473537364,unskilled - resident,2.0259321315802277,"yes, registered under the customers name ",yes
0,< 0 DM,29.041117399171,all credits at this bank paid back duly,repairs,8071.726149494454,unknown/ no savings account,... < 1 year ,1.339699883978011,male : single,none,4.057189270241366,"if not A121/A122 : car or other, not in attribute 6",25.967550415991134,none,rent,2.4895591510927204,skilled employee / official,-0.5112226864959049,none,yes
1,no checking account,24.87845030130727,critical account/ other credits existing (not at this bank),domestic appliances,12578.663168032359,100 <= ... < 500 DM,1 <= ... < 4 years,4.581850439307079,female : divorced/separated/married,none,2.3786393238380357,"if not A121/A122 : car or other, not in attribute 6",43.67902015961628,none,own,-0.19057233611331026,skilled employee / official,2.0644704608191784,none,yes
0,0 <= ... < 200 DM,23.950074089013746,critical account/ other credits existing (not at this bank),domestic appliances,3430.6197019654824,... < 100 DM,4 <= ... < 7 years,3.4766029673239798,female : divorced/separated/married,none,-0.04472826300482069,unknown / no property,31.00518644865902,none,own,1.8834121740905903,skilled employee / official,1.8348008408695633,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,8.81513763645474,delay in paying off in the past,car (new),2134.3398753611928,... < 100 DM,... < 1 year ,4.014680139889712,female : divorced/separated/married,none,2.774608200530892,if not A121 : building society savings agreement/ life insurance,48.1953809159388,none,rent,2.223248846393679,skilled employee / official,0.9041655003571429,none,no
0,0 <= ... < 200 DM,5.319070455596059,existing credits paid back duly till now,car (new),2647.316047870644,... < 100 DM,.. >= 7 years,1.210013646132397,male : single,none,4.50123586382721,if not A121 : building society savings agreement/ life insurance,44.361812944604985,none,own,2.093534588216267,skilled employee / official,0.291912294586675,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,11.22254133867403,critical account/ other credits existing (not at this bank),domestic appliances,2241.409828457329,... < 100 DM,.. >= 7 years,1.1299298541660738,female : divorced/separated/married,none,3.4019282830788127,if not A121 : building society savings agreement/ life insurance,46.64340014906089,none,rent,1.5993710802299888,skilled employee / official,1.8532833698714133,"yes, registered under the customers name ",yes
0,no checking account,11.845470517931197,existing credits paid back duly till now,(vacation - does not exist?),1804.6161346680021,... < 100 DM,1 <= ... < 4 years,2.930201214237862,male : single,none,3.2378040689627507,"if not A121/A122 : car or other, not in attribute 6",42.45751539219844,none,rent,-0.043350183617314686,management/ self-employed/ highly qualified employee/ officer,1.613585516011376,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,9.571672177836893,existing credits paid back duly till now,domestic appliances,2066.8920466582226,... < 100 DM,4 <= ... < 7 years,0.6665256812657989,male : married/widowed,none,0.8295903427650179,if not A121 : building society savings agreement/ life insurance,25.112609977997547,none,own,1.5736984119861985,skilled employee / official,-0.3364100878519811,none,yes
0,0 <= ... < 200 DM,5.6478664495117705,existing credits paid back duly till now,domestic appliances,1373.6355617477354,... < 100 DM,.. >= 7 years,-0.47181235132418564,female : divorced/separated/married,none,2.0132366728016704,if not A121 : building society savings agreement/ life insurance,35.03526155698866,bank,own,-1.6241667775014168,skilled employee / official,1.4986358672518456,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,6.532309185553348,no credits taken/ all credits paid back duly,car (new),423.8197899355105,100 <= ... < 500 DM,... < 1 year ,4.56515337880977,male : single,none,4.735733360280164,unknown / no property,38.356175986027495,none,own,0.879231423325993,unskilled - resident,1.0890122536790228,none,yes
0,< 0 DM,12.365444064364079,existing credits paid back duly till now,business,409.0360599267978,... < 100 DM,.. >= 7 years,0.39811168494831106,male : divorced/separated,none,1.6417366051412106,"if not A121/A122 : car or other, not in attribute 6",42.634710642090006,none,rent,1.8298808088698415,skilled employee / official,0.35624438616769316,"yes, registered under the customers name ",yes
0,< 0 DM,7.412732611595988,existing credits paid back duly till now,radio/television,2414.9953670277755,100 <= ... < 500 DM,unemployed,3.20541052696126,male : single,none,1.159050861329542,"if not A121/A122 : car or other, not in attribute 6",33.83107084367526,none,own,1.8247427465479675,skilled employee / official,1.8546730864913044,"yes, registered under the customers name ",yes
