dataset,method,instability,invalidity,dissimilarity,dissparsity,implausability,discriminative_power,proportion_counterfactuals
bank,validity,3.7124834060668945,0.003106539137661457,23.19070053100586,0.8999999761581421,13.787671089172363,0.4791138172149658,1.0
bank,connected_ball,4.876233100891113,0.00254931696690619,22.282106399536133,0.8999999761581421,13.550202369689941,0.4729499816894531,1.0
bank,robust,72.89066314697266,0.03753688931465149,220.8766632080078,0.9000000953674316,128.13694763183594,0.5756685733795166,1.0
bank,feasability,54.12824249267578,0.053921639919281006,206.14137268066406,0.9000000357627869,113.98419189453125,0.5621997714042664,1.0
bank,discriminative,10.367902755737305,0.0018942588940262794,44.32319641113281,0.8999999761581421,28.427518844604492,0.5842764377593994,1.0
bank,plausable,9.393560409545898,0.0019783442839980125,45.36863708496094,0.8999999761581421,31.6104736328125,0.49583667516708374,1.0
bank,similarity,131.60101318359375,0.28579041361808777,397.5976867675781,0.9000000357627869,370.5086975097656,0.5914061665534973,1.0
bank,combined,56.90414047241211,0.048858147114515305,169.7635498046875,0.8999999165534973,104.72738647460938,0.6352726817131042,1.0
bank,DICE,,0.1758161187171936,3083.72314453125,0.7290000319480896,652.802734375,0.6249780058860779,1.0
bank,GS,0.8298559188842773,0.4740719199180603,257.2957458496094,0.9979166984558105,1.6417137384414673,0.566087007522583,1.0
churn,validity,2.3392887115478516,0.012051086872816086,14.101502418518066,0.26478874683380127,12.152318000793457,0.7595099806785583,1.0
churn,connected_ball,2.4905288219451904,0.016722150146961212,13.50637435913086,0.26478874683380127,11.629281997680664,0.7428199648857117,1.0
churn,robust,2.2160308361053467,0.005353980232030153,17.229005813598633,0.26478874683380127,15.299221992492676,0.8196098804473877,1.0
churn,feasability,34.43528366088867,0.0058708516880869865,121.04150390625,0.26478874683380127,118.68513488769531,0.8840000033378601,1.0
churn,discriminative,2.783142328262329,0.0031738763209432364,19.008377075195312,0.26478874683380127,17.067989349365234,0.8385000824928284,1.0
churn,plausable,3.1747896671295166,0.009098337963223457,15.24649429321289,0.26478874683380127,13.3306884765625,0.7811200022697449,1.0
churn,similarity,33.42435073852539,0.1382869929075241,89.64436340332031,0.26478874683380127,87.23052978515625,0.8837600946426392,1.0
churn,combined,2.5623245239257812,0.0038608291652053595,17.8453369140625,0.26478874683380127,15.964022636413574,0.8331100344657898,1.0
churn,DICE,0.5320172905921936,0.3854495882987976,3.075510025024414,0.2657746374607086,0.5719538927078247,0.7841200232505798,1.0
churn,GS,,0.4787871837615967,6.508946895599365,0.275003582239151,4.472296237945557,0.6201413869857788,1.0
compas,validity,3.9642701148986816,0.016214918345212936,19.489084243774414,0.5700000524520874,7.920183181762695,0.7230966687202454,1.0
compas,connected_ball,4.146090507507324,0.01451834850013256,19.849475860595703,0.5700000524520874,8.310606956481934,0.7207783460617065,1.0
compas,robust,3.8533194065093994,0.011122302152216434,20.50075912475586,0.5700000524520874,9.163531303405762,0.7207707166671753,1.0
compas,feasability,4.377175807952881,0.008170523680746555,21.748010635375977,0.5700000524520874,10.515477180480957,0.7163587808609009,1.0
compas,discriminative,4.24018669128418,0.011877281591296196,20.52118682861328,0.5700000524520874,8.919412612915039,0.7199049592018127,1.0
compas,plausable,6.806976318359375,0.15542903542518616,22.314128875732422,0.5700000524520874,9.963293075561523,0.7505908012390137,1.0
compas,similarity,32.1836051940918,0.11319800466299057,82.35552978515625,0.5704100131988525,56.180458068847656,0.6857394576072693,1.0
compas,combined,3.732631206512451,0.008113318122923374,20.71526527404785,0.5700000524520874,9.39474105834961,0.719882071018219,1.0
compas,DICE,7.893796443939209,0.38837337493896484,29.083602905273438,0.4623529314994812,2.4319286346435547,0.7516128420829773,1.0
compas,GS,,0.5978617668151855,24.770763397216797,0.5775401592254639,0.6768657565116882,0.8076584339141846,1.0
diabetes,validity,1.5731768608093262,0.02983980067074299,4.598888397216797,0.9850000143051147,2.6421141624450684,0.7558874487876892,1.0
diabetes,connected_ball,1.6540836095809937,0.0297426488250494,4.457274436950684,0.9850000143051147,2.5320730209350586,0.7548052072525024,1.0
diabetes,robust,1.5487443208694458,0.023556534200906754,7.562193393707275,0.9850000143051147,5.681117534637451,0.7627705335617065,1.0
diabetes,feasability,4.5123467445373535,0.015994103625416756,15.393537521362305,0.9850000143051147,13.433838844299316,0.7735931277275085,1.0
diabetes,discriminative,2.1454334259033203,0.007698939647525549,6.312984466552734,0.9850000143051147,4.278698444366455,0.7619481086730957,1.0
diabetes,plausable,1.1815390586853027,0.3578953444957733,3.1618447303771973,0.9867647290229797,1.3065671920776367,0.6898396015167236,1.0
diabetes,similarity,2.862333297729492,0.06223693862557411,6.257910251617432,0.9842105507850647,4.405455112457275,0.7548872232437134,1.0
diabetes,combined,2.3460748195648193,0.02466556988656521,6.397060394287109,0.9850000143051147,4.542120933532715,0.7652381062507629,1.0
diabetes,DICE,0.5829313397407532,0.40684711933135986,2.4712588787078857,0.9212499856948853,0.7257417440414429,0.7096970081329346,1.0
diabetes,GS,,0.49798741936683655,2.2433321475982666,0.9733333587646484,0.33695217967033386,0.6857720017433167,1.0
fico,validity,1.6611956357955933,0.018782611936330795,5.311260223388672,0.997826099395752,3.475766897201538,0.7145411968231201,1.0
fico,connected_ball,1.7659242153167725,0.017261890694499016,5.505799770355225,0.997826099395752,3.6904239654541016,0.714789628982544,1.0
fico,robust,1.5467650890350342,0.017771700397133827,5.6571364402771,0.997826099395752,3.772080898284912,0.7156819105148315,1.0
fico,feasability,13.012201309204102,0.006256180349737406,17.380380630493164,0.997826099395752,15.203303337097168,0.7269375324249268,1.0
fico,discriminative,1.7787237167358398,0.013899160549044609,5.693911075592041,0.997826099395752,3.7994658946990967,0.7147769331932068,1.0
fico,plausable,3.684462308883667,0.04627260938286781,8.782567024230957,0.997826099395752,6.842668533325195,0.7215360403060913,1.0
fico,similarity,40.911163330078125,0.12297341972589493,115.55176544189453,0.9977588653564453,112.94524383544922,0.7240378856658936,1.0
fico,combined,1.5423110723495483,0.021474646404385567,5.383901596069336,0.997826099395752,3.500973701477051,0.7143945097923279,1.0
fico,DICE,0.934613049030304,0.24969857931137085,3.666360855102539,0.8626087307929993,0.9425140619277954,0.7232568264007568,1.0
