default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker
0,< 0 DM,7.218868319017726,existing credits paid back duly till now,(vacation - does not exist?),1168.7628694158964,... < 100 DM,.. >= 7 years,2.192196080585966,male : single,guarantor,8.99609078749398,if not A121 : building society savings agreement/ life insurance,68.0128180411814,none,own,0.9681916270357447,unemployed/ unskilled - non-resident,1.9004669081536103,none,yes
1,no checking account,43.840063575038016,critical account/ other credits existing (not at this bank),retraining,5948.082852254505,unknown/ no savings account,1 <= ... < 4 years,-0.6635108444817455,male : single,none,4.750768740471128,unknown / no property,25.58087360890472,bank,own,-0.19794356316645967,skilled employee / official,0.7866281510130884,"yes, registered under the customers name ",yes
0,no checking account,15.001804783225829,critical account/ other credits existing (not at this bank),radio/television,2094.3421077366565,500 <= ... < 1000 DM ,1 <= ... < 4 years,3.736039293800428,male : married/widowed,none,10.864509885502361,if not A121 : building society savings agreement/ life insurance,50.0932850261475,none,own,-1.7866396500217863,skilled employee / official,5.456174504296921,"yes, registered under the customers name ",yes
0,0 <= ... < 200 DM,45.76225886556485,critical account/ other credits existing (not at this bank),car (new),7884.535641510935,.. >= 1000 DM ,4 <= ... < 7 years,3.0074176611800203,male : single,none,-2.1913313309596454,"if not A121/A122 : car or other, not in attribute 6",53.955326665657694,none,own,2.7139317146233353,skilled employee / official,4.4269327096469056,none,yes
1,no checking account,16.195859245384653,existing credits paid back duly till now,domestic appliances,4870.0119731648,... < 100 DM,... < 1 year ,-2.6191661904413097,male : divorced/separated,none,2.938559566742982,"if not A121/A122 : car or other, not in attribute 6",58.71914980988167,none,rent,2.938584750819037,unskilled - resident,-9.943290136439694,none,yes
0,no checking account,30.791281972550728,existing credits paid back duly till now,domestic appliances,9056.360839907473,... < 100 DM,1 <= ... < 4 years,6.490713018254954,male : single,none,2.149914464228698,if not A121 : building society savings agreement/ life insurance,33.76988894113194,none,own,-5.362598793077672,unskilled - resident,4.180968817713827,none,yes
0,< 0 DM,24.51136161266914,critical account/ other credits existing (not at this bank),car (used),2837.6803169688087,unknown/ no savings account,1 <= ... < 4 years,2.6232216985966668,male : single,none,-3.894730705634406,if not A121 : building society savings agreement/ life insurance,51.72789026477172,none,own,-5.606103980957431,skilled employee / official,-3.013917638016335,"yes, registered under the customers name ",yes
0,no checking account,34.73502963062567,existing credits paid back duly till now,car (used),6946.5006341484095,... < 100 DM,1 <= ... < 4 years,-2.443724380862882,male : single,none,6.241308819118776,if not A121 : building society savings agreement/ life insurance,36.878786877941415,none,for free,2.6987378128230173,skilled employee / official,-4.686914965794796,none,yes
0,< 0 DM,11.932795369982845,existing credits paid back duly till now,radio/television,3062.0249926545193,... < 100 DM,4 <= ... < 7 years,6.755136457415496,female : divorced/separated/married,none,2.9184137767865663,real estate,57.647923278297256,none,own,-2.2611457151781384,skilled employee / official,0.24610635850574514,"yes, registered under the customers name ",yes
1,< 0 DM,26.58782428970568,no credits taken/ all credits paid back duly,radio/television,5235.515370413834,... < 100 DM,.. >= 7 years,6.502702286384616,male : single,none,4.958524819946248,real estate,32.665153226129945,bank,rent,3.2081646204012957,skilled employee / official,2.643884436120046,none,yes
